Horizon (min),Model,Feature configuration,Internal feature_set,Folds,MAE,RMSE,R2,Runtime (s)
120,TimeMixer,AR-AirT,AR_AirT,5,0.833 ± 0.095,1.045 ± 0.120,0.507 ± 0.074,1.54 ± 0.74
120,PatchTST,AR-only,AR_only,5,0.818 ± 0.124,1.045 ± 0.138,0.512 ± 0.032,5.18 ± 1.59
120,iTransformer,Two-stage CBF,TwoStage_CBF_AirT_PAR,5,0.839 ± 0.228,1.046 ± 0.272,0.511 ± 0.153,3.89 ± 2.14
120,PatchTST,Two-stage CBF-residual,TwoStage_CBF_AirT_PAR_Residual,5,0.804 ± 0.222,1.049 ± 0.290,0.510 ± 0.162,3.86 ± 0.36
120,Ridge,Two-stage CBF,TwoStage_CBF_AirT_PAR,5,0.888 ± 0.097,1.053 ± 0.088,0.490 ± 0.121,0.00 ± 0.00
120,iTransformer,Two-stage CBF-residual,TwoStage_CBF_AirT_PAR_Residual,5,0.895 ± 0.292,1.078 ± 0.274,0.468 ± 0.217,3.00 ± 1.75
120,Ridge,AR-AirT,AR_AirT,5,0.891 ± 0.069,1.082 ± 0.088,0.472 ± 0.050,0.00 ± 0.00
120,PatchTST,AR-LeafParents-window,AR_AirT_PAR_window,5,0.857 ± 0.198,1.091 ± 0.184,0.463 ± 0.128,4.30 ± 3.49
120,Ridge,AR-LeafParents-window,AR_AirT_PAR_window,5,0.920 ± 0.103,1.094 ± 0.097,0.458 ± 0.076,0.00 ± 0.00
120,TimeMixer,Two-stage CBF,TwoStage_CBF_AirT_PAR,5,0.882 ± 0.185,1.096 ± 0.239,0.464 ± 0.124,2.03 ± 1.08
120,TimeMixer,AR-LeafParents-window,AR_AirT_PAR_window,5,0.922 ± 0.163,1.110 ± 0.145,0.443 ± 0.101,2.13 ± 1.43
120,TimeMixer,AR-only,AR_only,5,0.891 ± 0.085,1.114 ± 0.117,0.443 ± 0.038,2.88 ± 1.49
120,Ridge,AR-AirT-PAR,AR_AirT_PAR,5,0.945 ± 0.115,1.119 ± 0.107,0.432 ± 0.087,0.00 ± 0.00
120,Ridge,AR-LeafParents,AR-LeafParents,5,0.943 ± 0.116,1.121 ± 0.108,0.430 ± 0.088,0.00 ± 0.00
120,iTransformer,AR-LeafParents,AR-LeafParents,5,0.956 ± 0.261,1.125 ± 0.236,0.417 ± 0.203,2.72 ± 0.47
