fold,feature_set,model,horizon_steps,horizon_minutes,n,p,n_train,n_val,n_test,runtime_s,train_MAE,train_RMSE,train_R2,val_MAE,val_RMSE,val_R2,test_MAE,test_RMSE,test_R2,feature_display_name,main_manuscript_configuration
fold_2,AR_PAR,RF,12,120,11440,4,8416,1008,1008,0.2806713581085205,0.64138564288027,0.9093326928969833,0.8266627358717716,1.6629350563517953,2.3353387805185943,-0.7295165727580823,1.4856007574717416,1.8224200971435622,-0.560911266734806,AR-PAR,False
fold_3,AR_PAR,RF,12,120,11440,4,7408,1008,1008,0.26353955268859863,0.659090512849814,0.9287006045828935,0.8275220811153565,0.7250771340391118,1.0009807844217786,0.5155862876904159,1.7716266847283346,2.4269471087215724,-0.8678653631533257,AR-PAR,False
fold_4,AR_PAR,RF,12,120,11440,4,6400,1008,1008,0.2615518569946289,0.6609082730806084,0.9388398373760377,0.8338825923633298,0.8632292206697864,1.0817417700174212,0.422979883275858,0.754692315260789,1.040517071900907,0.4765642664152281,AR-PAR,False
fold_5,AR_PAR,RF,12,120,11440,4,5392,1008,1008,0.27571749687194824,0.6775445043494255,0.9624071384508033,0.8269537188190075,1.0354718186353553,1.2945634551045637,0.32543915734859696,0.9797491115564795,1.216797297425419,0.26990356516986336,AR-PAR,False
fold_1,AR_PAR,Ridge,12,120,11440,4,9424,1008,1008,0.0010008811950683594,1.0437654446141122,1.4128624589564553,0.6062793757992648,0.8896196043363379,1.076265196978218,0.45559786855871376,1.094755208202302,1.2509130095161511,0.1705022151305764,AR-PAR,False
fold_2,AR_PAR,Ridge,12,120,11440,4,8416,1008,1008,0.0009891986846923828,1.0580844616644858,1.4305060965838374,0.5710311536844767,1.0903628019029799,1.3170415159942475,0.4499225071784898,1.0122280086452686,1.2047346684125657,0.3178748857025133,AR-PAR,False
fold_3,AR_PAR,Ridge,12,120,11440,4,7408,1008,1008,0.0010008811950683594,1.1039281356454727,1.4855328675830617,0.5586871462899858,0.7458102641513663,0.9451365528502926,0.5681289758523851,1.126374724804299,1.3564699217317968,0.41649405956425967,AR-PAR,False
fold_4,AR_PAR,Ridge,12,120,11440,4,6400,1008,1008,0.0,1.1501027561928594,1.5445182688649044,0.5504083619992207,0.8452076879532529,1.0436968614233297,0.4628537974521916,0.7643088056218302,0.9661773223916995,0.5486861861234067,AR-PAR,False
fold_5,AR_PAR,Ridge,12,120,11440,4,5392,1008,1008,0.0,1.2160879278353356,1.607401261494788,0.5172823161810864,0.9085698201517955,1.194868819309352,0.42533480073375507,0.8954309248160758,1.09419472529789,0.4096181622619224,AR-PAR,False
fold_1,AR_PAR,XGBoost,12,120,11440,4,9424,1008,1008,0.08850979804992676,0.7924852618849454,1.0998536269442247,0.7614067372296554,0.7793830608186266,0.9506630153935453,0.5752489900485988,0.9518766811158921,1.1266474202142085,0.32712085928402734,AR-PAR,False
fold_2,AR_PAR,XGBoost,12,120,11440,4,8416,1008,1008,0.09050965309143066,0.8104366592436273,1.1152081041292992,0.7392897174566982,1.5807238509919908,2.144184627412078,-0.4579723959478368,1.4565771715224733,1.789617527480347,-0.505225865244552,AR-PAR,False
fold_3,AR_PAR,XGBoost,12,120,11440,4,7408,1008,1008,0.09850621223449707,0.834149503232197,1.1388729980956378,0.7406222973637718,0.7193261521203176,0.9815081702485903,0.5342500838444741,1.773990434464954,2.3998753911454074,-0.8264270484312564,AR-PAR,False
fold_4,AR_PAR,XGBoost,12,120,11440,4,6400,1008,1008,0.08360123634338379,0.8415064825883226,1.1543330957617943,0.7488724146244018,0.8899841460979804,1.0923738647886547,0.41158144811445474,0.7677155016987771,1.039748097689581,0.47733765083755164,AR-PAR,False
fold_5,AR_PAR,XGBoost,12,120,11440,4,5392,1008,1008,0.07909059524536133,0.8581776095576251,1.1758822935413786,0.7416715126427158,0.9799631689071785,1.2461971792791688,0.37490220158167076,0.9936058437256585,1.2300399238081765,0.2539255452028224,AR-PAR,False
fold_1,AR_only,PatchTST,12,120,11440,3,9424,1008,1008,3.9362592697143555,1.0012288135859124,1.429614555994847,0.5968874525430501,0.7310660845135883,0.9573559025588507,0.5692472469319363,0.7364665720197888,0.9253771939098335,0.5460598506203801,AR-only,True
fold_2,AR_only,PatchTST,12,120,11440,3,8416,1008,1008,5.479846239089966,0.9989028575930307,1.4306839954569321,0.5709244532380937,0.9525442771306112,1.2217002312735392,0.5266806520204761,0.7825960499142842,1.0129902608909265,0.5177283163685107,AR-only,True
fold_3,AR_only,PatchTST,12,120,11440,3,7408,1008,1008,7.171158790588379,1.0854199292775928,1.4721507897433754,0.566602262948236,0.7453744119311136,0.9614495435657237,0.553092191969303,1.0364957664883325,1.2820466736192941,0.4787661429560227,AR-only,True
fold_4,AR_only,PatchTST,12,120,11440,3,6400,1008,1008,6.061445236206055,1.0974612399715429,1.520986877399485,0.5640034425237659,0.7779149077935192,0.9987261835316985,0.508145525510872,0.7511376908468821,0.978063469517091,0.537513538553965,AR-only,True
fold_5,AR_only,PatchTST,12,120,11440,3,5392,1008,1008,3.259638786315918,1.178681173908155,1.6502055148694594,0.49123096908787844,0.7778623640886634,1.0627284047021797,0.5454108994039608,0.7855628736183126,1.0276030601788206,0.47929166123122047,AR-only,True
fold_1,AR_only,RF,12,120,11440,3,9424,1008,1008,0.26386189460754395,0.8010121833812668,1.1173471845624132,0.7537565588411613,0.8449410977112369,1.0856485329001175,0.4460638312466696,0.904380448208768,1.1025877356099623,0.3555528209891604,AR-only,True
fold_2,AR_only,RF,12,120,11440,3,8416,1008,1008,0.2605862617492676,0.8050253638276398,1.1246825831969265,0.7348410648671977,1.0721991231644523,1.3455178591320112,0.4258784105722403,0.8962359151271565,1.1430018975466756,0.38599044988126063,AR-only,True
fold_3,AR_only,RF,12,120,11440,3,7408,1008,1008,0.2468099594116211,0.822062761214238,1.151365926385008,0.7349005709836642,0.7744012730995566,0.997916816822492,0.5185472962473006,1.0793427113819942,1.3570755674549568,0.41597288800664656,AR-only,True
fold_4,AR_only,RF,12,120,11440,3,6400,1008,1008,0.24605059623718262,0.8380854560471849,1.177665534213631,0.7386177716209605,0.8445839952938625,1.0680756621187406,0.43746727423528564,0.8053312447148823,1.0305647309653687,0.4865294991322585,AR-only,True
fold_5,AR_only,RF,12,120,11440,3,5392,1008,1008,0.23174500465393066,0.8709209724397138,1.220013273597843,0.7219174668738428,0.9250888961487916,1.2131764961991833,0.40758995059660497,0.8921046643831537,1.1229550147095788,0.37817457898438733,AR-only,True
fold_1,AR_only,Ridge,12,120,11440,3,9424,1008,1008,0.0,1.0701090876441106,1.4705490986005687,0.5734720924366521,0.8954021227883114,1.1111492289055889,0.41973549991354375,1.0087172074964386,1.1695021698069334,0.27495814856503453,AR-only,True
fold_2,AR_only,Ridge,12,120,11440,3,8416,1008,1008,0.0,1.079064336691137,1.4850817093487376,0.5376753758499173,1.1044315147753634,1.3731089456594219,0.4020912095267952,0.9529154629531672,1.1782353490148536,0.3475528782301791,AR-only,True
