fold,feature_set,model,horizon_steps,horizon_minutes,stageA_AirT_MAE,stageA_PAR_MAE,stageB_LeafT_MAE,amplification_ratio_vs_10min,feature_display_name
fold_4,TwoStage_CBF_AirT_PAR,Ridge,3,30,0.5154868350389513,34.598476562038556,0.3290227719169171,1.5235437847013122,Two-stage CBF
fold_5,TwoStage_CBF_AirT_PAR,Ridge,3,30,0.4866111148098333,41.55315356999716,0.3645335886972773,1.6879770361756097,Two-stage CBF
fold_1,TwoStage_CBF_AirT_PAR,Ridge,6,60,0.6862743218609856,33.2540794449546,0.5692379693802158,2.635863059606764,Two-stage CBF
fold_2,TwoStage_CBF_AirT_PAR,Ridge,6,60,0.6248067117825653,34.49001252560068,0.5804477272658564,2.687769974301978,Two-stage CBF
fold_3,TwoStage_CBF_AirT_PAR,Ridge,6,60,0.7258128996562041,42.30058857249289,0.6077289673290814,2.8140960747573183,Two-stage CBF
fold_4,TwoStage_CBF_AirT_PAR,Ridge,6,60,0.6971582588834994,47.48040780628376,0.48335308161564766,2.238172084629145,Two-stage CBF
fold_5,TwoStage_CBF_AirT_PAR,Ridge,6,60,0.6794129891367675,53.896339459323045,0.5752901807390115,2.663887894926431,Two-stage CBF
fold_1,TwoStage_CBF_AirT_PAR,Ridge,12,120,1.05321483496252,46.90398835596137,0.9854516573960007,4.563145398727609,Two-stage CBF
fold_2,TwoStage_CBF_AirT_PAR,Ridge,12,120,0.9701148087452965,47.85578930160777,0.9413144972712626,4.358767763737069,Two-stage CBF
fold_3,TwoStage_CBF_AirT_PAR,Ridge,12,120,1.1266044444142242,56.646190095343606,0.9065414373097821,4.197750703821418,Two-stage CBF
fold_4,TwoStage_CBF_AirT_PAR,Ridge,12,120,0.9716516722704003,62.08542086174676,0.7295269260226359,3.3780829437383195,Two-stage CBF
fold_5,TwoStage_CBF_AirT_PAR,Ridge,12,120,0.947551542679883,68.98909974508489,0.8790930370375837,4.070650566067848,Two-stage CBF
fold_1,TwoStage_CBF_AirT_PAR,TimeMixer,1,10,0.29560394639381654,15.337720013102375,0.17922442625439347,0.6969383976973774,Two-stage CBF
fold_2,TwoStage_CBF_AirT_PAR,TimeMixer,1,10,0.24564242451146923,15.622660524619198,0.30273760288480717,1.177236073713531,Two-stage CBF
fold_3,TwoStage_CBF_AirT_PAR,TimeMixer,1,10,0.293777371584017,18.576619840307405,0.36547773724510546,1.4212095634114095,Two-stage CBF
fold_4,TwoStage_CBF_AirT_PAR,TimeMixer,1,10,0.33521522933899633,23.091999480132834,0.20856878742339113,0.811047911015309,Two-stage CBF
fold_5,TwoStage_CBF_AirT_PAR,TimeMixer,1,10,0.3074566175712704,30.107125991746496,0.22978963758579635,0.8935680541623723,Two-stage CBF
fold_1,TwoStage_CBF_AirT_PAR,TimeMixer,3,30,0.4715357942658052,23.14840365565132,0.26248234332553916,1.0206980577608056,Two-stage CBF
fold_2,TwoStage_CBF_AirT_PAR,TimeMixer,3,30,0.40886311130297937,23.553886641625468,0.32403539195893294,1.2600554042145489,Two-stage CBF
fold_3,TwoStage_CBF_AirT_PAR,TimeMixer,3,30,0.4962894967444617,28.98607265465326,0.6303301778672232,2.451124064749609,Two-stage CBF
fold_4,TwoStage_CBF_AirT_PAR,TimeMixer,3,30,0.5154868350389513,34.598476562038556,0.3247760895752852,1.262935706976328,Two-stage CBF
fold_5,TwoStage_CBF_AirT_PAR,TimeMixer,3,30,0.4866111148098333,41.55315356999716,0.36993615236231886,1.4385467130008858,Two-stage CBF
fold_1,TwoStage_CBF_AirT_PAR,TimeMixer,6,60,0.6862743218609856,33.2540794449546,0.35281171132647793,1.3719560102356168,Two-stage CBF
fold_2,TwoStage_CBF_AirT_PAR,TimeMixer,6,60,0.6248067117825653,34.49001252560068,0.48193206681145556,1.8740579588510617,Two-stage CBF
fold_3,TwoStage_CBF_AirT_PAR,TimeMixer,6,60,0.7258128996562041,42.30058857249289,0.6647378574855742,2.5849229759965655,Two-stage CBF
fold_4,TwoStage_CBF_AirT_PAR,TimeMixer,6,60,0.6971582588834994,47.48040780628376,0.4843169965333137,1.883332080318263,Two-stage CBF
fold_5,TwoStage_CBF_AirT_PAR,TimeMixer,6,60,0.6794129891367675,53.896339459323045,0.5655011910736244,2.199027790126062,Two-stage CBF
fold_1,TwoStage_CBF_AirT_PAR,TimeMixer,12,120,1.05321483496252,46.90398835596137,0.8311903789308335,3.232196096146412,Two-stage CBF
fold_2,TwoStage_CBF_AirT_PAR,TimeMixer,12,120,0.9701148087452965,47.85578930160777,0.8995477052718873,3.498012795837718,Two-stage CBF
fold_3,TwoStage_CBF_AirT_PAR,TimeMixer,12,120,1.1266044444142242,56.646190095343606,1.1740851630861795,4.565588795134933,Two-stage CBF
fold_4,TwoStage_CBF_AirT_PAR,TimeMixer,12,120,0.9716516722704003,62.08542086174676,0.6665030238741919,2.5917870640021046,Two-stage CBF
fold_5,TwoStage_CBF_AirT_PAR,TimeMixer,12,120,0.947551542679883,68.98909974508489,0.8405992584632188,3.2687837955045373,Two-stage CBF
fold_1,TwoStage_CBF_AirT_PAR,XGBoost,1,10,0.29560394639381654,15.337720013102375,0.17860486068422826,0.6556746477890119,Two-stage CBF
fold_2,TwoStage_CBF_AirT_PAR,XGBoost,1,10,0.24564242451146923,15.622660524619198,0.32504649290962817,1.193275165844319,Two-stage CBF
fold_3,TwoStage_CBF_AirT_PAR,XGBoost,1,10,0.293777371584017,18.576619840307405,0.3942485609508696,1.4473222360941767,Two-stage CBF
fold_4,TwoStage_CBF_AirT_PAR,XGBoost,1,10,0.33521522933899633,23.091999480132834,0.24214492865971152,0.8889360021032832,Two-stage CBF
fold_5,TwoStage_CBF_AirT_PAR,XGBoost,1,10,0.3074566175712704,30.107125991746496,0.22194819165285298,0.8147919481692087,Two-stage CBF
fold_1,TwoStage_CBF_AirT_PAR,XGBoost,3,30,0.4715357942658052,23.14840365565132,0.31598666743626663,1.1600157245641702,Two-stage CBF
fold_2,TwoStage_CBF_AirT_PAR,XGBoost,3,30,0.40886311130297937,23.553886641625468,0.5538741432674347,2.0333222310695205,Two-stage CBF
fold_3,TwoStage_CBF_AirT_PAR,XGBoost,3,30,0.4962894967444617,28.98607265465326,0.6435112006323678,2.362388001124377,Two-stage CBF
fold_4,TwoStage_CBF_AirT_PAR,XGBoost,3,30,0.5154868350389513,34.598476562038556,0.3770668950913444,1.384246781889209,Two-stage CBF
fold_5,TwoStage_CBF_AirT_PAR,XGBoost,3,30,0.4866111148098333,41.55315356999716,0.3845181304184847,1.411600942800616,Two-stage CBF
fold_1,TwoStage_CBF_AirT_PAR,XGBoost,6,60,0.6862743218609856,33.2540794449546,0.5097447972070602,1.8713193979750093,Two-stage CBF
fold_2,TwoStage_CBF_AirT_PAR,XGBoost,6,60,0.6248067117825653,34.49001252560068,0.8138601784479049,2.987754553873989,Two-stage CBF
fold_3,TwoStage_CBF_AirT_PAR,XGBoost,6,60,0.7258128996562041,42.30058857249289,0.9555530811491466,3.507922055009882,Two-stage CBF
fold_4,TwoStage_CBF_AirT_PAR,XGBoost,6,60,0.6971582588834994,47.48040780628376,0.49293791949343513,1.8096198250569067,Two-stage CBF
fold_5,TwoStage_CBF_AirT_PAR,XGBoost,6,60,0.6794129891367675,53.896339459323045,0.58933052512073,2.163485825691025,Two-stage CBF
fold_1,TwoStage_CBF_AirT_PAR,XGBoost,12,120,1.05321483496252,46.90398835596137,0.8060892133107259,2.959226635821922,Two-stage CBF
fold_2,TwoStage_CBF_AirT_PAR,XGBoost,12,120,0.9701148087452965,47.85578930160777,1.0796988951213777,3.963672601433341,Two-stage CBF
fold_3,TwoStage_CBF_AirT_PAR,XGBoost,12,120,1.1266044444142242,56.646190095343606,1.2975665644236973,4.763484581841698,Two-stage CBF
fold_4,TwoStage_CBF_AirT_PAR,XGBoost,12,120,0.9716516722704003,62.08542086174676,0.6911884999653648,2.5374156925765314,Two-stage CBF
fold_5,TwoStage_CBF_AirT_PAR,XGBoost,12,120,0.947551542679883,68.98909974508489,0.9224280990368474,3.386317240357618,Two-stage CBF
fold_1,TwoStage_CBF_AirT_PAR,iTransformer,1,10,0.29560394639381654,15.337720013102375,0.2040303049390279,0.7049325317269002,Two-stage CBF
fold_2,TwoStage_CBF_AirT_PAR,iTransformer,1,10,0.24564242451146923,15.622660524619198,0.37503703026544477,1.2957673288552096,Two-stage CBF
fold_3,TwoStage_CBF_AirT_PAR,iTransformer,1,10,0.293777371584017,18.576619840307405,0.33739260703798324,1.1657044022764174,Two-stage CBF
fold_4,TwoStage_CBF_AirT_PAR,iTransformer,1,10,0.33521522933899633,23.091999480132834,0.25924909041311733,0.8957155541547052,Two-stage CBF
fold_5,TwoStage_CBF_AirT_PAR,iTransformer,1,10,0.3074566175712704,30.107125991746496,0.27145289955946494,0.937880182986768,Two-stage CBF
fold_1,TwoStage_CBF_AirT_PAR,iTransformer,3,30,0.4715357942658052,23.14840365565132,0.2745872160745045,0.9487093668025769,Two-stage CBF
fold_2,TwoStage_CBF_AirT_PAR,iTransformer,3,30,0.40886311130297937,23.553886641625468,0.524497785870991,1.8121599739297674,Two-stage CBF
fold_3,TwoStage_CBF_AirT_PAR,iTransformer,3,30,0.4962894967444617,28.98607265465326,0.7031005888136606,2.429239510665848,Two-stage CBF
fold_4,TwoStage_CBF_AirT_PAR,iTransformer,3,30,0.5154868350389513,34.598476562038556,0.354558897180622,1.2250145933493815,Two-stage CBF
fold_5,TwoStage_CBF_AirT_PAR,iTransformer,3,30,0.4866111148098333,41.55315356999716,0.3985789412039298,1.3771055343953857,Two-stage CBF
fold_1,TwoStage_CBF_AirT_PAR,iTransformer,6,60,0.6862743218609856,33.2540794449546,0.4802131192646327,1.6591547517063778,Two-stage CBF
fold_2,TwoStage_CBF_AirT_PAR,iTransformer,6,60,0.6248067117825653,34.49001252560068,0.6915269551201472,2.3892521622016765,Two-stage CBF
fold_3,TwoStage_CBF_AirT_PAR,iTransformer,6,60,0.7258128996562041,42.30058857249289,0.5774567362618823,1.9951351794405696,Two-stage CBF
fold_4,TwoStage_CBF_AirT_PAR,iTransformer,6,60,0.6971582588834994,47.48040780628376,0.433309789158049,1.497101946617755,Two-stage CBF
