sensor_scenario,event_q,deltaT_threshold,model,algorithm,horizon_min,roc_auc_mean_std,pr_auc_mean_std,f1_mean_std,top10_alert_precision_mean_std,positive_rate,n_folds,n_samples
noise_5,0.85,3.1758386827288914,Causal-parents,Logistic,120,0.819 ± 0.052,0.364 ± 0.155,0.302 ± 0.156,0.405 ± 0.199,0.15063731170336037,5,10356
noise_5,0.85,3.1758386827288914,Causal-parents,RF,120,0.781 ± 0.038,0.356 ± 0.139,0.276 ± 0.112,0.394 ± 0.164,0.15063731170336037,5,10356
noise_5,0.85,3.1758386827288914,Causal-parents,XGBoost,120,0.800 ± 0.043,0.367 ± 0.140,0.276 ± 0.138,0.427 ± 0.167,0.15063731170336037,5,10356
noise_5,0.85,3.1758386827288914,Causal+Lagged Controls,Logistic,120,0.771 ± 0.103,0.349 ± 0.162,0.317 ± 0.115,0.392 ± 0.221,0.15063731170336037,5,10356
noise_5,0.85,3.1758386827288914,Causal+Lagged Controls,RF,120,0.802 ± 0.072,0.386 ± 0.176,0.191 ± 0.154,0.421 ± 0.177,0.15063731170336037,5,10356
noise_5,0.85,3.1758386827288914,Causal+Lagged Controls,XGBoost,120,0.785 ± 0.084,0.366 ± 0.178,0.242 ± 0.155,0.404 ± 0.199,0.15063731170336037,5,10356
noise_5,0.9,3.408375338190723,DT-proxy base,Logistic,10,0.920 ± 0.044,0.603 ± 0.154,0.571 ± 0.100,0.524 ± 0.222,0.10009596928982725,5,10420
noise_5,0.9,3.408375338190723,DT-proxy base,RF,10,0.907 ± 0.041,0.583 ± 0.171,0.573 ± 0.124,0.516 ± 0.225,0.10009596928982725,5,10420
noise_5,0.9,3.408375338190723,DT-proxy base,XGBoost,10,0.915 ± 0.039,0.579 ± 0.175,0.552 ± 0.149,0.511 ± 0.226,0.10009596928982725,5,10420
noise_5,0.9,3.408375338190723,Causal-parents,Logistic,10,0.920 ± 0.044,0.592 ± 0.209,0.504 ± 0.213,0.494 ± 0.244,0.10009596928982725,5,10420
noise_5,0.9,3.408375338190723,Causal-parents,RF,10,0.907 ± 0.044,0.588 ± 0.188,0.498 ± 0.120,0.529 ± 0.245,0.10009596928982725,5,10420
noise_5,0.9,3.408375338190723,Causal-parents,XGBoost,10,0.910 ± 0.045,0.585 ± 0.206,0.498 ± 0.157,0.513 ± 0.237,0.10009596928982725,5,10420
noise_5,0.9,3.408375338190723,Causal+Lagged Controls,Logistic,10,0.899 ± 0.075,0.576 ± 0.220,0.510 ± 0.184,0.501 ± 0.249,0.10009596928982725,5,10420
