sensor_scenario,event_q,deltaT_threshold,model,algorithm,horizon_min,roc_auc_mean_std,pr_auc_mean_std,f1_mean_std,top10_alert_precision_mean_std,positive_rate,n_folds,n_samples
missing_10,0.85,3.2900000000000027,Causal+Lagged Controls,RF,60,0.771 ± 0.059,0.363 ± 0.161,0.221 ± 0.163,0.381 ± 0.132,0.15003934598233803,5,11437
missing_10,0.85,3.2900000000000027,Causal+Lagged Controls,XGBoost,60,0.775 ± 0.066,0.388 ± 0.181,0.346 ± 0.126,0.407 ± 0.185,0.15003934598233803,5,11437
missing_10,0.85,3.2900000000000027,DT-proxy base,Logistic,120,0.707 ± 0.048,0.285 ± 0.181,0.340 ± 0.128,0.383 ± 0.245,0.15007871261150954,5,11434
missing_10,0.85,3.2900000000000027,DT-proxy base,RF,120,0.713 ± 0.028,0.255 ± 0.166,0.284 ± 0.162,0.305 ± 0.183,0.15007871261150954,5,11434
missing_10,0.85,3.2900000000000027,DT-proxy base,XGBoost,120,0.718 ± 0.028,0.262 ± 0.165,0.293 ± 0.134,0.309 ± 0.164,0.15007871261150954,5,11434
missing_10,0.85,3.2900000000000027,Causal-parents,Logistic,120,0.803 ± 0.062,0.373 ± 0.123,0.336 ± 0.101,0.427 ± 0.194,0.15011809990377045,5,11431
missing_10,0.85,3.2900000000000027,Causal-parents,RF,120,0.745 ± 0.070,0.264 ± 0.148,0.203 ± 0.122,0.264 ± 0.143,0.15011809990377045,5,11431
missing_10,0.85,3.2900000000000027,Causal-parents,XGBoost,120,0.772 ± 0.071,0.285 ± 0.123,0.231 ± 0.091,0.287 ± 0.138,0.15011809990377045,5,11431
missing_10,0.85,3.2900000000000027,Causal+Lagged Controls,Logistic,120,0.794 ± 0.099,0.359 ± 0.151,0.354 ± 0.094,0.415 ± 0.162,0.15011809990377045,5,11431
missing_10,0.85,3.2900000000000027,Causal+Lagged Controls,RF,120,0.774 ± 0.066,0.306 ± 0.157,0.140 ± 0.140,0.327 ± 0.150,0.15011809990377045,5,11431
missing_10,0.85,3.2900000000000027,Causal+Lagged Controls,XGBoost,120,0.764 ± 0.083,0.310 ± 0.177,0.208 ± 0.153,0.345 ± 0.168,0.15011809990377045,5,11431
missing_10,0.9,3.599999999999998,DT-proxy base,Logistic,10,0.950 ± 0.046,0.696 ± 0.140,0.651 ± 0.084,0.530 ± 0.277,0.1000436871996505,5,11445
missing_10,0.9,3.599999999999998,DT-proxy base,RF,10,0.951 ± 0.034,0.700 ± 0.135,0.640 ± 0.115,0.533 ± 0.272,0.1000436871996505,5,11445
missing_10,0.9,3.599999999999998,DT-proxy base,XGBoost,10,0.955 ± 0.037,0.703 ± 0.132,0.653 ± 0.088,0.528 ± 0.272,0.1000436871996505,5,11445
missing_10,0.9,3.599999999999998,Causal-parents,Logistic,10,0.957 ± 0.035,0.709 ± 0.143,0.589 ± 0.232,0.538 ± 0.272,0.10006991784653033,5,11442
missing_10,0.9,3.599999999999998,Causal-parents,RF,10,0.950 ± 0.027,0.702 ± 0.080,0.517 ± 0.209,0.516 ± 0.235,0.10006991784653033,5,11442
missing_10,0.9,3.599999999999998,Causal-parents,XGBoost,10,0.952 ± 0.031,0.716 ± 0.094,0.591 ± 0.155,0.522 ± 0.256,0.10006991784653033,5,11442
missing_10,0.9,3.599999999999998,Causal+Lagged Controls,Logistic,10,0.948 ± 0.041,0.696 ± 0.117,0.606 ± 0.099,0.515 ± 0.255,0.10006991784653033,5,11442
missing_10,0.9,3.599999999999998,Causal+Lagged Controls,RF,10,0.947 ± 0.029,0.682 ± 0.078,0.502 ± 0.181,0.509 ± 0.230,0.10006991784653033,5,11442
missing_10,0.9,3.599999999999998,Causal+Lagged Controls,XGBoost,10,0.952 ± 0.034,0.709 ± 0.093,0.618 ± 0.046,0.507 ± 0.244,0.10006991784653033,5,11442
missing_10,0.9,3.599999999999998,DT-proxy base,Logistic,30,0.888 ± 0.069,0.508 ± 0.173,0.492 ± 0.104,0.440 ± 0.252,0.10006117276937866,5,11443
missing_10,0.9,3.599999999999998,DT-proxy base,RF,30,0.900 ± 0.043,0.501 ± 0.179,0.485 ± 0.120,0.443 ± 0.256,0.10006117276937866,5,11443
missing_10,0.9,3.599999999999998,DT-proxy base,XGBoost,30,0.902 ± 0.049,0.490 ± 0.189,0.487 ± 0.140,0.443 ± 0.251,0.10006117276937866,5,11443
missing_10,0.9,3.599999999999998,Causal-parents,Logistic,30,0.909 ± 0.051,0.533 ± 0.163,0.461 ± 0.237,0.450 ± 0.240,0.10008741258741259,5,11440
missing_10,0.9,3.599999999999998,Causal-parents,RF,30,0.893 ± 0.046,0.456 ± 0.159,0.339 ± 0.159,0.403 ± 0.157,0.10008741258741259,5,11440
missing_10,0.9,3.599999999999998,Causal-parents,XGBoost,30,0.904 ± 0.049,0.534 ± 0.162,0.443 ± 0.206,0.451 ± 0.235,0.10008741258741259,5,11440
missing_10,0.9,3.599999999999998,Causal+Lagged Controls,Logistic,30,0.892 ± 0.034,0.483 ± 0.175,0.410 ± 0.175,0.416 ± 0.204,0.10008741258741259,5,11440
missing_10,0.9,3.599999999999998,Causal+Lagged Controls,RF,30,0.884 ± 0.042,0.475 ± 0.095,0.287 ± 0.165,0.362 ± 0.149,0.10008741258741259,5,11440
missing_10,0.9,3.599999999999998,Causal+Lagged Controls,XGBoost,30,0.890 ± 0.048,0.495 ± 0.155,0.431 ± 0.090,0.413 ± 0.214,0.10008741258741259,5,11440
missing_10,0.9,3.599999999999998,DT-proxy base,Logistic,60,0.771 ± 0.062,0.326 ± 0.181,0.365 ± 0.100,0.334 ± 0.236,0.10008741258741259,5,11440
missing_10,0.9,3.599999999999998,DT-proxy base,RF,60,0.789 ± 0.042,0.304 ± 0.160,0.278 ± 0.151,0.286 ± 0.167,0.10008741258741259,5,11440
missing_10,0.9,3.599999999999998,DT-proxy base,XGBoost,60,0.785 ± 0.043,0.292 ± 0.166,0.286 ± 0.143,0.284 ± 0.173,0.10008741258741259,5,11440
missing_10,0.9,3.599999999999998,Causal-parents,Logistic,60,0.820 ± 0.035,0.359 ± 0.157,0.326 ± 0.220,0.351 ± 0.221,0.10011366617119874,5,11437
missing_10,0.9,3.599999999999998,Causal-parents,RF,60,0.750 ± 0.067,0.225 ± 0.123,0.158 ± 0.124,0.202 ± 0.104,0.10011366617119874,5,11437
missing_10,0.9,3.599999999999998,Causal-parents,XGBoost,60,0.747 ± 0.063,0.250 ± 0.153,0.203 ± 0.153,0.230 ± 0.124,0.10011366617119874,5,11437
missing_10,0.9,3.599999999999998,Causal+Lagged Controls,Logistic,60,0.804 ± 0.048,0.316 ± 0.148,0.292 ± 0.165,0.299 ± 0.138,0.10011366617119874,5,11437
missing_10,0.9,3.599999999999998,Causal+Lagged Controls,RF,60,0.760 ± 0.064,0.256 ± 0.155,0.108 ± 0.150,0.224 ± 0.107,0.10011366617119874,5,11437
missing_10,0.9,3.599999999999998,Causal+Lagged Controls,XGBoost,60,0.745 ± 0.069,0.260 ± 0.151,0.199 ± 0.151,0.227 ± 0.121,0.10011366617119874,5,11437
missing_10,0.9,3.599999999999998,DT-proxy base,Logistic,120,0.690 ± 0.075,0.210 ± 0.181,0.259 ± 0.132,0.266 ± 0.217,0.10013993353157251,5,11434
missing_10,0.9,3.599999999999998,DT-proxy base,RF,120,0.702 ± 0.050,0.182 ± 0.145,0.193 ± 0.113,0.194 ± 0.137,0.10013993353157251,5,11434
missing_10,0.9,3.599999999999998,DT-proxy base,XGBoost,120,0.699 ± 0.048,0.181 ± 0.145,0.193 ± 0.132,0.212 ± 0.137,0.10013993353157251,5,11434
missing_10,0.9,3.599999999999998,Causal-parents,Logistic,120,0.771 ± 0.089,0.263 ± 0.120,0.211 ± 0.194,0.292 ± 0.187,0.10016621467938064,5,11431
missing_10,0.9,3.599999999999998,Causal-parents,RF,120,0.735 ± 0.074,0.179 ± 0.119,0.124 ± 0.102,0.165 ± 0.098,0.10016621467938064,5,11431
missing_10,0.9,3.599999999999998,Causal-parents,XGBoost,120,0.766 ± 0.076,0.191 ± 0.107,0.156 ± 0.104,0.202 ± 0.116,0.10016621467938064,5,11431
missing_10,0.9,3.599999999999998,Causal+Lagged Controls,Logistic,120,0.773 ± 0.115,0.230 ± 0.127,0.223 ± 0.096,0.247 ± 0.114,0.10016621467938064,5,11431
missing_10,0.9,3.599999999999998,Causal+Lagged Controls,RF,120,0.738 ± 0.108,0.205 ± 0.155,0.096 ± 0.098,0.179 ± 0.130,0.10016621467938064,5,11431
missing_10,0.9,3.599999999999998,Causal+Lagged Controls,XGBoost,120,0.731 ± 0.105,0.220 ± 0.172,0.176 ± 0.170,0.222 ± 0.161,0.10016621467938064,5,11431
missing_10,0.95,4.27,DT-proxy base,Logistic,10,0.959 ± 0.030,0.702 ± 0.178,0.520 ± 0.328,0.312 ± 0.310,0.05041502839667977,5,11445
missing_10,0.95,4.27,DT-proxy base,RF,10,0.961 ± 0.028,0.727 ± 0.169,0.543 ± 0.331,0.312 ± 0.301,0.05041502839667977,5,11445
missing_10,0.95,4.27,DT-proxy base,XGBoost,10,0.961 ± 0.028,0.717 ± 0.187,0.528 ± 0.337,0.314 ± 0.303,0.05041502839667977,5,11445
missing_10,0.95,4.27,Causal-parents,Logistic,10,0.967 ± 0.028,0.730 ± 0.149,0.498 ± 0.303,0.314 ± 0.304,0.05042824680999825,5,11442
missing_10,0.95,4.27,Causal-parents,RF,10,0.963 ± 0.027,0.710 ± 0.154,0.475 ± 0.345,0.323 ± 0.312,0.05042824680999825,5,11442
missing_10,0.95,4.27,Causal-parents,XGBoost,10,0.963 ± 0.043,0.714 ± 0.226,0.542 ± 0.342,0.317 ± 0.307,0.05042824680999825,5,11442
missing_10,0.95,4.27,Causal+Lagged Controls,Logistic,10,0.908 ± 0.117,0.576 ± 0.239,0.388 ± 0.295,0.203 ± 0.121,0.05042824680999825,5,11442
missing_10,0.95,4.27,Causal+Lagged Controls,RF,10,0.965 ± 0.020,0.640 ± 0.115,0.164 ± 0.211,0.315 ± 0.308,0.05042824680999825,5,11442
missing_10,0.95,4.27,Causal+Lagged Controls,XGBoost,10,0.961 ± 0.032,0.635 ± 0.202,0.289 ± 0.221,0.308 ± 0.298,0.05042824680999825,5,11442
missing_10,0.95,4.27,DT-proxy base,Logistic,30,0.887 ± 0.070,0.484 ± 0.246,0.407 ± 0.295,0.270 ± 0.288,0.05042383990212357,5,11443
missing_10,0.95,4.27,DT-proxy base,RF,30,0.912 ± 0.039,0.496 ± 0.228,0.388 ± 0.273,0.270 ± 0.287,0.05042383990212357,5,11443
missing_10,0.95,4.27,DT-proxy base,XGBoost,30,0.909 ± 0.038,0.472 ± 0.226,0.365 ± 0.258,0.238 ± 0.224,0.05042383990212357,5,11443
missing_10,0.95,4.27,Causal-parents,Logistic,30,0.918 ± 0.044,0.503 ± 0.206,0.419 ± 0.280,0.270 ± 0.273,0.05043706293706294,5,11440
missing_10,0.95,4.27,Causal-parents,RF,30,0.913 ± 0.029,0.429 ± 0.207,0.193 ± 0.236,0.276 ± 0.293,0.05043706293706294,5,11440
missing_10,0.95,4.27,Causal-parents,XGBoost,30,0.920 ± 0.040,0.497 ± 0.274,0.362 ± 0.279,0.277 ± 0.290,0.05043706293706294,5,11440
missing_10,0.95,4.27,Causal+Lagged Controls,Logistic,30,0.847 ± 0.164,0.383 ± 0.199,0.312 ± 0.247,0.160 ± 0.102,0.05043706293706294,5,11440
missing_10,0.95,4.27,Causal+Lagged Controls,RF,30,0.908 ± 0.041,0.362 ± 0.158,0.063 ± 0.098,0.263 ± 0.263,0.05043706293706294,5,11440
missing_10,0.95,4.27,Causal+Lagged Controls,XGBoost,30,0.906 ± 0.026,0.328 ± 0.107,0.112 ± 0.154,0.209 ± 0.180,0.05043706293706294,5,11440
missing_10,0.95,4.27,DT-proxy base,Logistic,60,0.759 ± 0.109,0.262 ± 0.264,0.260 ± 0.258,0.210 ± 0.262,0.05043706293706294,5,11440
missing_10,0.95,4.27,DT-proxy base,RF,60,0.796 ± 0.022,0.236 ± 0.214,0.219 ± 0.210,0.180 ± 0.192,0.05043706293706294,5,11440
missing_10,0.95,4.27,DT-proxy base,XGBoost,60,0.774 ± 0.029,0.228 ± 0.215,0.195 ± 0.214,0.171 ± 0.191,0.05043706293706294,5,11440
missing_10,0.95,4.27,Causal-parents,Logistic,60,0.813 ± 0.064,0.263 ± 0.218,0.274 ± 0.233,0.208 ± 0.245,0.05045029290897963,5,11437
missing_10,0.95,4.27,Causal-parents,RF,60,0.836 ± 0.052,0.256 ± 0.164,0.119 ± 0.089,0.230 ± 0.261,0.05045029290897963,5,11437
missing_10,0.95,4.27,Causal-parents,XGBoost,60,0.822 ± 0.068,0.286 ± 0.236,0.198 ± 0.195,0.209 ± 0.257,0.05045029290897963,5,11437
missing_10,0.95,4.27,Causal+Lagged Controls,Logistic,60,0.817 ± 0.083,0.196 ± 0.051,0.165 ± 0.122,0.136 ± 0.081,0.05045029290897963,5,11437
missing_10,0.95,4.27,Causal+Lagged Controls,RF,60,0.827 ± 0.040,0.214 ± 0.117,0.046 ± 0.063,0.167 ± 0.164,0.05045029290897963,5,11437
missing_10,0.95,4.27,Causal+Lagged Controls,XGBoost,60,0.803 ± 0.080,0.192 ± 0.097,0.089 ± 0.070,0.120 ± 0.083,0.05045029290897963,5,11437
missing_10,0.95,4.27,DT-proxy base,Logistic,120,0.603 ± 0.150,0.161 ± 0.255,0.128 ± 0.263,0.135 ± 0.241,0.050463529823333915,5,11434
missing_10,0.95,4.27,DT-proxy base,RF,120,0.659 ± 0.037,0.113 ± 0.132,0.092 ± 0.176,0.103 ± 0.140,0.050463529823333915,5,11434
missing_10,0.95,4.27,DT-proxy base,XGBoost,120,0.655 ± 0.041,0.117 ± 0.144,0.095 ± 0.181,0.103 ± 0.153,0.050463529823333915,5,11434
missing_10,0.95,4.27,Causal-parents,Logistic,120,0.709 ± 0.100,0.146 ± 0.191,0.121 ± 0.231,0.142 ± 0.212,0.050476773685591815,5,11431
missing_10,0.95,4.27,Causal-parents,RF,120,0.758 ± 0.097,0.150 ± 0.105,0.037 ± 0.051,0.124 ± 0.170,0.050476773685591815,5,11431
missing_10,0.95,4.27,Causal-parents,XGBoost,120,0.784 ± 0.080,0.188 ± 0.159,0.138 ± 0.174,0.144 ± 0.172,0.050476773685591815,5,11431
missing_10,0.95,4.27,Causal+Lagged Controls,Logistic,120,0.773 ± 0.097,0.107 ± 0.067,0.059 ± 0.077,0.094 ± 0.097,0.050476773685591815,5,11431
missing_10,0.95,4.27,Causal+Lagged Controls,RF,120,0.763 ± 0.154,0.141 ± 0.102,0.030 ± 0.044,0.091 ± 0.087,0.050476773685591815,5,11431
missing_10,0.95,4.27,Causal+Lagged Controls,XGBoost,120,0.779 ± 0.091,0.162 ± 0.117,0.030 ± 0.044,0.112 ± 0.132,0.050476773685591815,5,11431
