feature,importance,sensor_scenario,event_q,model,model_key,algorithm,algorithm_key,horizon_min
compartment/par_lag3,0.010708395255245307,clean,0.9,Causal+Lagged Controls,CAUSAL_PLUS_ACTION_LAGGED,Logistic,logistic,60
energy/co2_dosage_lag2,0.007033772996725328,clean,0.9,Causal+Lagged Controls,CAUSAL_PLUS_ACTION_LAGGED,Logistic,logistic,60
energy/co2_dosage_lag1,0.006967015651053249,clean,0.9,Causal+Lagged Controls,CAUSAL_PLUS_ACTION_LAGGED,Logistic,logistic,60
deltaT_raw_lag1,0.09268470073455931,clean,0.9,Causal+Lagged Controls,CAUSAL_PLUS_ACTION_LAGGED,RF,rf,60
compartment/leaf_temperature_lag3,0.086755215206858,clean,0.9,Causal+Lagged Controls,CAUSAL_PLUS_ACTION_LAGGED,RF,rf,60
deltaT_raw_lag2,0.08247250023828034,clean,0.9,Causal+Lagged Controls,CAUSAL_PLUS_ACTION_LAGGED,RF,rf,60
compartment/leaf_temperature_lag2,0.07549397134851872,clean,0.9,Causal+Lagged Controls,CAUSAL_PLUS_ACTION_LAGGED,RF,rf,60
compartment/leaf_temperature_lag1,0.06172802364881072,clean,0.9,Causal+Lagged Controls,CAUSAL_PLUS_ACTION_LAGGED,RF,rf,60
deltaT_raw_lag3,0.05751579169117393,clean,0.9,Causal+Lagged Controls,CAUSAL_PLUS_ACTION_LAGGED,RF,rf,60
compartment/par_lag1,0.04389746912367439,clean,0.9,Causal+Lagged Controls,CAUSAL_PLUS_ACTION_LAGGED,RF,rf,60
compartment/par_lag2,0.03517089500834839,clean,0.9,Causal+Lagged Controls,CAUSAL_PLUS_ACTION_LAGGED,RF,rf,60
compartment/par_lag3,0.033890323459758974,clean,0.9,Causal+Lagged Controls,CAUSAL_PLUS_ACTION_LAGGED,RF,rf,60
compartment/air_temperature_lag3,0.02209352652493832,clean,0.9,Causal+Lagged Controls,CAUSAL_PLUS_ACTION_LAGGED,RF,rf,60
compartment/air_temperature_lag2,0.0220840620335911,clean,0.9,Causal+Lagged Controls,CAUSAL_PLUS_ACTION_LAGGED,RF,rf,60
compartment/window_position_lee_side_lag1,0.02168656645691948,clean,0.9,Causal+Lagged Controls,CAUSAL_PLUS_ACTION_LAGGED,RF,rf,60
compartment/heating_lower_circuit/pipe_temperature_lag1,0.02156397568428707,clean,0.9,Causal+Lagged Controls,CAUSAL_PLUS_ACTION_LAGGED,RF,rf,60
energy/energy_use.heating_lag1,0.02106504738966862,clean,0.9,Causal+Lagged Controls,CAUSAL_PLUS_ACTION_LAGGED,RF,rf,60
compartment/air_temperature_lag1,0.02090979305047058,clean,0.9,Causal+Lagged Controls,CAUSAL_PLUS_ACTION_LAGGED,RF,rf,60
compartment/window_position_wind_side_lag1,0.0203062068095191,clean,0.9,Causal+Lagged Controls,CAUSAL_PLUS_ACTION_LAGGED,RF,rf,60
compartment/screen_blackout/screen_position_lag1,0.020114464686541367,clean,0.9,Causal+Lagged Controls,CAUSAL_PLUS_ACTION_LAGGED,RF,rf,60
compartment/water_supply/water_flow_duration_lag1,0.01975473498120401,clean,0.9,Causal+Lagged Controls,CAUSAL_PLUS_ACTION_LAGGED,RF,rf,60
compartment/window_position_lee_side_lag2,0.0195324110890729,clean,0.9,Causal+Lagged Controls,CAUSAL_PLUS_ACTION_LAGGED,RF,rf,60
compartment/water_supply/water_flow_duration_lag3,0.01871523296565818,clean,0.9,Causal+Lagged Controls,CAUSAL_PLUS_ACTION_LAGGED,RF,rf,60
