time,deltaT_raw,sensor_scenario,event_h10,event_h30,event_h60,event_h120
2024-11-16 17:50:00,4.08964914462555,noise_5,1.0,0.0,0.0,0.0
2024-11-16 18:00:00,4.527985346390224,noise_5,1.0,0.0,0.0,0.0
2024-11-16 18:10:00,4.329172259264494,noise_5,0.0,0.0,0.0,0.0
2024-11-16 18:20:00,3.3805638731428793,noise_5,0.0,0.0,0.0,0.0
2024-11-16 18:30:00,3.2898866969875122,noise_5,0.0,0.0,0.0,0.0
2024-11-16 18:40:00,2.750194745805281,noise_5,0.0,0.0,0.0,0.0
2024-11-16 18:50:00,1.8372471692361714,noise_5,0.0,0.0,0.0,0.0
2024-11-16 19:00:00,1.939283044690292,noise_5,0.0,0.0,0.0,0.0
2024-11-16 19:10:00,2.350430671097172,noise_5,0.0,0.0,0.0,0.0
2024-11-16 19:20:00,2.6985929170573186,noise_5,0.0,0.0,0.0,0.0
2024-11-16 19:30:00,2.6212208544674667,noise_5,0.0,0.0,0.0,0.0
2024-11-16 19:40:00,3.084867091516948,noise_5,0.0,0.0,0.0,0.0
2024-11-16 19:50:00,2.6862173690031454,noise_5,0.0,0.0,0.0,0.0
2024-11-16 20:00:00,2.646893895414429,noise_5,0.0,0.0,0.0,0.0
2024-11-16 20:10:00,2.2157143909538775,noise_5,0.0,0.0,0.0,0.0
2024-11-16 20:20:00,2.1585911860448554,noise_5,0.0,0.0,0.0,0.0
2024-11-16 20:30:00,2.1222142046371033,noise_5,0.0,0.0,0.0,0.0
2024-11-16 20:40:00,2.6660144661885408,noise_5,0.0,0.0,0.0,0.0
2024-11-16 20:50:00,2.651902758488422,noise_5,0.0,0.0,0.0,0.0
2024-11-16 21:00:00,2.4673747809128095,noise_5,0.0,0.0,0.0,0.0
2024-11-16 21:10:00,2.131012492509342,noise_5,0.0,0.0,0.0,0.0
2024-11-16 21:20:00,2.231443632493729,noise_5,0.0,0.0,0.0,0.0
2024-11-16 21:30:00,1.939912729958806,noise_5,0.0,0.0,0.0,0.0
2024-11-16 21:40:00,1.9826807932144668,noise_5,0.0,0.0,0.0,0.0
2024-11-16 21:50:00,2.236882153391406,noise_5,0.0,0.0,0.0,0.0
2024-11-16 22:00:00,2.241204960821463,noise_5,0.0,0.0,0.0,0.0
2024-11-16 22:10:00,2.6278030344361927,noise_5,0.0,0.0,0.0,0.0
2024-11-16 22:20:00,2.5284664081748627,noise_5,0.0,0.0,0.0,0.0
2024-11-16 22:30:00,2.4086563653476176,noise_5,0.0,0.0,0.0,0.0
2024-11-16 22:40:00,2.3066920240967157,noise_5,0.0,0.0,0.0,0.0
2024-11-16 22:50:00,2.218555425736625,noise_5,0.0,0.0,0.0,0.0
2024-11-16 23:00:00,2.0554281087362902,noise_5,0.0,0.0,0.0,0.0
2024-11-16 23:10:00,2.08733748220509,noise_5,0.0,0.0,0.0,0.0
2024-11-16 23:20:00,1.6596146724968897,noise_5,0.0,0.0,0.0,0.0
2024-11-16 23:30:00,1.3402211213570503,noise_5,0.0,0.0,0.0,0.0
2024-11-16 23:40:00,1.1955745799623436,noise_5,0.0,0.0,0.0,0.0
