target,stage,tau_max,tau_cap_lags,n_edges,n_features,pcmci_seconds,mean_mae,std_mae,mean_rmse,std_rmse,mean_r2,n_folds
substrate_relative_permittivity_mean,fine,11,72,6,6,93.12731439992785,0.037652104199740764,0.005599942227620694,0.13402117360031532,0.12338138671056162,0.9199348431015688,5
substrate_relative_permittivity_mean,fine,12,72,6,6,94.60235459997784,0.0376539155506944,0.005596333797553815,0.13401873663239755,0.12336538245813215,0.9199343424869074,5
substrate_relative_permittivity_mean,fine,13,72,7,7,97.37625769991428,0.038027512643282836,0.005495773489467502,0.13398447396770846,0.12330954602787611,0.9199729022305846,5
substrate_relative_permittivity_mean,fine,14,72,7,7,103.39880940003786,0.03802542254850515,0.005501509140248845,0.13399350438170998,0.12328013528531766,0.9199553714376553,5
substrate_relative_permittivity_mean,fine,15,72,9,9,105.1486269000452,0.038033091512264854,0.005607594036835432,0.13385458880069226,0.12309766127331939,0.9201050174777299,5
substrate_relative_permittivity_mean,fine,16,72,8,8,115.9461759000551,0.037990184259229856,0.005609267663665822,0.13389350754522533,0.12320755644496748,0.9200726836796488,5
substrate_relative_permittivity_mean,fine,17,72,8,8,121.40991869999561,0.03799943086168251,0.005611681932466299,0.13387505712641629,0.12318535744254155,0.9200930625725141,5
substrate_relative_permittivity_mean,fine,18,72,9,9,128.15992230002303,0.03781032193239092,0.0057520775075822934,0.133954379495723,0.12389569487688455,0.920091984484215,5
substrate_relative_permittivity_mean,fine,19,72,9,9,135.49174569989555,0.03781094114362079,0.0057525902435988175,0.1339542730902885,0.12389589511064122,0.920092184127201,5
substrate_relative_permittivity_mean,fine,20,72,9,9,138.5052757000085,0.037812309723950215,0.005752703356430528,0.13395368813280872,0.12389550470670792,0.9200929333015517,5
substrate_relative_permittivity_mean,fine,21,72,9,9,147.84863910009153,0.03781351258941201,0.005752779139254928,0.13395314486448506,0.12389549763771257,0.9200936531950953,5
substrate_relative_permittivity_mean,fine,22,72,9,9,150.53706860006787,0.03798852180415023,0.005621498357620815,0.1338550443804856,0.12312980620765909,0.9201097058017311,5
substrate_relative_permittivity_mean,fine,23,72,9,9,160.01196019991767,0.037984952742684805,0.005622602987936655,0.13385348582741605,0.12313067775641641,0.9201119425928772,5
substrate_relative_permittivity_mean,fine,24,72,10,10,166.0937486999901,0.037799649724101075,0.005760540879729312,0.13393576016782396,0.12384182710265226,0.920106856164374,5
substrate_relative_permittivity_mean,fine,25,72,8,8,166.56248259998392,0.03781026109885162,0.005694142061776424,0.13401130438538125,0.12401278775100176,0.9200339472062256,5
substrate_relative_permittivity_mean,fine,26,72,9,9,185.09404809994157,0.03786683273030522,0.0057820272701594845,0.13403157814974345,0.12382784893819941,0.9199664610817052,5
substrate_relative_permittivity_mean,fine,27,72,6,6,190.02275670005474,0.03746095817750804,0.0058510583308616386,0.1338372853904298,0.12361270354353618,0.9202045408601911,5
